Date,Revenue,COGS,web_sessions,web_visitors,web_pageviews,inv_avg_stock,inv_units_sold,inv_stockout_count,order_count,is_promo_active,active_promo_count
2012-07-04,5123547.94,3982991.19,0.0,0.0,0.0,0.0,0.0,0.0,162,0,0
2012-07-05,2751773.45,2150580.23,0.0,0.0,0.0,0.0,0.0,0.0,97,0,0
2012-07-06,3054029.42,2517632.84,0.0,0.0,0.0,0.0,0.0,0.0,93,0,0
2012-07-07,2667930.94,2108246.62,0.0,0.0,0.0,0.0,0.0,0.0,73,0,0
2012-07-08,2360851.9,1808622.79,0.0,0.0,0.0,0.0,0.0,0.0,88,0,0
2012-07-09,3548386.46,2787841.68,0.0,0.0,0.0,0.0,0.0,0.0,137,0,0
2012-07-10,5234938.62,4044438.84,0.0,0.0,0.0,0.0,0.0,0.0,183,0,0
2012-07-11,5582884.78,4338313.07,0.0,0.0,0.0,0.0,0.0,0.0,221,0,0
2012-07-12,5734632.02,4458811.27,0.0,0.0,0.0,0.0,0.0,0.0,246,0,0
2012-07-13,5309511.71,4143402.78,0.0,0.0,0.0,0.0,0.0,0.0,201,0,0
2012-07-14,3820831.41,3075464.87,0.0,0.0,0.0,0.0,0.0,0.0,157,0,0
2012-07-15,3948841.28,3154482.05,0.0,0.0,0.0,0.0,0.0,0.0,149,0,0
2012-07-16,3503801.49,2708219.59,0.0,0.0,0.0,0.0,0.0,0.0,140,0,0
2012-07-17,4476729.49,3463061.65,0.0,0.0,0.0,0.0,0.0,0.0,185,0,0
2012-07-18,5184141.46,4072012.16,0.0,0.0,0.0,0.0,0.0,0.0,225,0,0
2012-07-19,6421487.11,5007270.91,0.0,0.0,0.0,0.0,0.0,0.0,263,0,0
2012-07-20,5171470.46,4213989.64,0.0,0.0,0.0,0.0,0.0,0.0,231,0,0
2012-07-21,3442157.02,2746075.45,0.0,0.0,0.0,0.0,0.0,0.0,171,0,0
2012-07-22,3117550.57,2531656.38,0.0,0.0,0.0,0.0,0.0,0.0,140,0,0
2012-07-23,4730517.69,3685006.66,0.0,0.0,0.0,0.0,0.0,0.0,206,0,0
2012-07-24,4096496.12,3248450.65,0.0,0.0,0.0,0.0,0.0,0.0,186,0,0
2012-07-25,5246688.08,4140019.37,0.0,0.0,0.0,0.0,0.0,0.0,224,0,0
2012-07-26,5851965.06,4579171.74,0.0,0.0,0.0,0.0,0.0,0.0,273,0,0
2012-07-27,5156699.45,3989402.2,0.0,0.0,0.0,0.0,0.0,0.0,212,0,0
2012-07-28,4326956.84,3403662.59,0.0,0.0,0.0,0.0,0.0,0.0,176,0,0
2012-07-29,4804199.65,3819645.91,0.0,0.0,0.0,0.0,0.0,0.0,206,0,0
2012-07-30,6586130.95,5195109.56,0.0,0.0,0.0,0.0,0.0,0.0,268,0,0
2012-07-31,9151622.14,7142891.18,0.0,0.0,0.0,59.99493670886076,7451.0,264.0,381,0,0
2012-08-01,9148357.3,7308514.33,0.0,0.0,0.0,0.0,0.0,0.0,360,0,0
2012-08-02,9692427.0,7537501.15,0.0,0.0,0.0,0.0,0.0,0.0,413,0,0
2012-08-03,9297269.95,7118808.46,0.0,0.0,0.0,0.0,0.0,0.0,353,0,0
2012-08-04,6384195.03,5087528.11,0.0,0.0,0.0,0.0,0.0,0.0,245,0,0
2012-08-05,2359224.19,1863413.11,0.0,0.0,0.0,0.0,0.0,0.0,76,0,0
2012-08-06,3630003.7,2922718.71,0.0,0.0,0.0,0.0,0.0,0.0,114,0,0
2012-08-07,2240253.44,1781265.84,0.0,0.0,0.0,0.0,0.0,0.0,93,0,0
2012-08-08,2617553.36,1997006.42,0.0,0.0,0.0,0.0,0.0,0.0,129,0,0
2012-08-09,4478691.52,3621672.71,0.0,0.0,0.0,0.0,0.0,0.0,156,0,0
2012-08-10,3412496.65,2699279.56,0.0,0.0,0.0,0.0,0.0,0.0,158,0,0
2012-08-11,2732604.35,2168668.05,0.0,0.0,0.0,0.0,0.0,0.0,110,0,0
2012-08-12,3388181.83,2654275.25,0.0,0.0,0.0,0.0,0.0,0.0,138,0,0
2012-08-13,3928170.01,3189564.96,0.0,0.0,0.0,0.0,0.0,0.0,153,0,0
2012-08-14,4033912.16,3258198.58,0.0,0.0,0.0,0.0,0.0,0.0,151,0,0
2012-08-15,3780293.26,2886923.59,0.0,0.0,0.0,0.0,0.0,0.0,162,0,0
2012-08-16,5249978.18,4222455.97,0.0,0.0,0.0,0.0,0.0,0.0,212,0,0
2012-08-17,4089284.05,3238908.92,0.0,0.0,0.0,0.0,0.0,0.0,158,0,0
2012-08-18,3450015.71,2808916.94,0.0,0.0,0.0,0.0,0.0,0.0,135,0,0
2012-08-19,3904300.93,3006801.4,0.0,0.0,0.0,0.0,0.0,0.0,158,0,0
2012-08-20,3541027.32,2827038.81,0.0,0.0,0.0,0.0,0.0,0.0,158,0,0
2012-08-21,4147483.23,3364364.64,0.0,0.0,0.0,0.0,0.0,0.0,172,0,0
2012-08-22,4597682.81,3562468.33,0.0,0.0,0.0,0.0,0.0,0.0,185,0,0
2012-08-23,5478869.55,4195738.04,0.0,0.0,0.0,0.0,0.0,0.0,231,0,0
2012-08-24,4637850.57,3632210.67,0.0,0.0,0.0,0.0,0.0,0.0,196,0,0
2012-08-25,3589566.28,2784342.75,0.0,0.0,0.0,0.0,0.0,0.0,141,0,0
2012-08-26,4280204.53,3476942.48,0.0,0.0,0.0,0.0,0.0,0.0,164,0,0
2012-08-27,3038895.84,2365260.68,0.0,0.0,0.0,0.0,0.0,0.0,137,0,0
2012-08-28,9508676.62,7439851.59,0.0,0.0,0.0,0.0,0.0,0.0,391,0,0
2012-08-29,9260558.32,7336294.54,0.0,0.0,0.0,0.0,0.0,0.0,382,0,0
2012-08-30,10086534.1,7950911.72,0.0,0.0,0.0,0.0,0.0,0.0,403,0,0
2012-08-31,9104678.52,7277460.12,0.0,0.0,0.0,62.054373522458626,9983.0,300.0,393,0,0
2012-09-01,8560208.92,6738335.17,0.0,0.0,0.0,0.0,0.0,0.0,341,0,0
2012-09-02,2587099.44,1946097.28,0.0,0.0,0.0,0.0,0.0,0.0,106,0,0
2012-09-03,3865505.01,3063431.08,0.0,0.0,0.0,0.0,0.0,0.0,147,0,0
2012-09-04,3645749.44,2876968.79,0.0,0.0,0.0,0.0,0.0,0.0,147,0,0
2012-09-05,2398185.51,1966376.48,0.0,0.0,0.0,0.0,0.0,0.0,87,0,0
2012-09-06,2858227.37,2147909.96,0.0,0.0,0.0,0.0,0.0,0.0,119,0,0
2012-09-07,3282753.8,2580035.06,0.0,0.0,0.0,0.0,0.0,0.0,139,0,0
2012-09-08,3666204.89,2804001.32,0.0,0.0,0.0,0.0,0.0,0.0,130,0,0
2012-09-09,4458501.42,3589475.8,0.0,0.0,0.0,0.0,0.0,0.0,170,0,0
2012-09-10,4548962.79,3517300.88,0.0,0.0,0.0,0.0,0.0,0.0,186,0,0
2012-09-11,4021565.55,3264364.41,0.0,0.0,0.0,0.0,0.0,0.0,129,0,0
2012-09-12,3335978.29,2673690.65,0.0,0.0,0.0,0.0,0.0,0.0,108,0,0
2012-09-13,2609609.29,2103806.97,0.0,0.0,0.0,0.0,0.0,0.0,116,0,0
2012-09-14,3729228.43,2835412.27,0.0,0.0,0.0,0.0,0.0,0.0,136,0,0
2012-09-15,3605125.64,2849539.9,0.0,0.0,0.0,0.0,0.0,0.0,131,0,0
2012-09-16,4452012.44,3561492.95,0.0,0.0,0.0,0.0,0.0,0.0,174,0,0
2012-09-17,4811788.67,3932069.23,0.0,0.0,0.0,0.0,0.0,0.0,206,0,0
2012-09-18,5078878.07,4123200.89,0.0,0.0,0.0,0.0,0.0,0.0,181,0,0
2012-09-19,3680241.62,3014323.76,0.0,0.0,0.0,0.0,0.0,0.0,147,0,0
2012-09-20,3763143.75,3080273.62,0.0,0.0,0.0,0.0,0.0,0.0,159,0,0
2012-09-21,3943768.14,2978697.93,0.0,0.0,0.0,0.0,0.0,0.0,148,0,0
2012-09-22,3872374.03,3011266.74,0.0,0.0,0.0,0.0,0.0,0.0,161,0,0
2012-09-23,4118299.54,3294951.2,0.0,0.0,0.0,0.0,0.0,0.0,178,0,0
2012-09-24,5733263.53,4585762.62,0.0,0.0,0.0,0.0,0.0,0.0,244,0,0
2012-09-25,5639897.53,4502395.62,0.0,0.0,0.0,0.0,0.0,0.0,244,0,0
2012-09-26,4592282.59,3670417.04,0.0,0.0,0.0,0.0,0.0,0.0,200,0,0
2012-09-27,7556892.66,6017108.13,0.0,0.0,0.0,0.0,0.0,0.0,349,0,0
2012-09-28,4892631.14,3884590.92,0.0,0.0,0.0,0.0,0.0,0.0,216,0,0
2012-09-29,5304374.46,4170120.63,0.0,0.0,0.0,0.0,0.0,0.0,224,0,0
2012-09-30,4694379.86,3812737.52,0.0,0.0,0.0,64.90330188679245,7303.0,274.0,196,0,0
2012-10-01,4752532.1,3764447.04,0.0,0.0,0.0,0.0,0.0,0.0,205,0,0
2012-10-02,3233135.78,2566510.62,0.0,0.0,0.0,0.0,0.0,0.0,104,0,0
2012-10-03,3515132.03,2762823.63,0.0,0.0,0.0,0.0,0.0,0.0,108,0,0
2012-10-04,2398137.74,1902425.74,0.0,0.0,0.0,0.0,0.0,0.0,77,0,0
2012-10-05,2665953.06,2064899.19,0.0,0.0,0.0,0.0,0.0,0.0,101,0,0
2012-10-06,2205266.94,1755004.4,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0
2012-10-07,3389598.07,2725469.75,0.0,0.0,0.0,0.0,0.0,0.0,110,0,0
2012-10-08,4037039.45,3285493.04,0.0,0.0,0.0,0.0,0.0,0.0,142,0,0
2012-10-09,4298675.76,3472700.63,0.0,0.0,0.0,0.0,0.0,0.0,167,0,0
2012-10-10,3548716.67,2839202.59,0.0,0.0,0.0,0.0,0.0,0.0,131,0,0
2012-10-11,3421490.39,2765374.16,0.0,0.0,0.0,0.0,0.0,0.0,109,0,0
2012-10-12,2380119.87,1830898.15,0.0,0.0,0.0,0.0,0.0,0.0,94,0,0
2012-10-13,2798011.44,2256579.15,0.0,0.0,0.0,0.0,0.0,0.0,125,0,0
2012-10-14,3055629.78,2516987.32,0.0,0.0,0.0,0.0,0.0,0.0,116,0,0
2012-10-15,3234517.3,2632811.8,0.0,0.0,0.0,0.0,0.0,0.0,140,0,0
2012-10-16,3549298.21,2763325.25,0.0,0.0,0.0,0.0,0.0,0.0,152,0,0
2012-10-17,3818048.0,3108682.75,0.0,0.0,0.0,0.0,0.0,0.0,134,0,0
2012-10-18,2909728.89,2301277.14,0.0,0.0,0.0,0.0,0.0,0.0,109,0,0
2012-10-19,2877379.81,2352068.71,0.0,0.0,0.0,0.0,0.0,0.0,99,0,0
2012-10-20,3242557.3,2647331.71,0.0,0.0,0.0,0.0,0.0,0.0,106,0,0
2012-10-21,2395609.91,1920246.47,0.0,0.0,0.0,0.0,0.0,0.0,114,0,0
2012-10-22,3596158.34,2873316.18,0.0,0.0,0.0,0.0,0.0,0.0,142,0,0
2012-10-23,3999141.88,3151858.27,0.0,0.0,0.0,0.0,0.0,0.0,170,0,0
2012-10-24,3829179.99,3037851.31,0.0,0.0,0.0,0.0,0.0,0.0,153,0,0
2012-10-25,3104460.52,2528526.7,0.0,0.0,0.0,0.0,0.0,0.0,125,0,0
2012-10-26,2138927.17,1671777.12,0.0,0.0,0.0,0.0,0.0,0.0,91,0,0
2012-10-27,2816872.34,2296869.06,0.0,0.0,0.0,0.0,0.0,0.0,122,0,0
2012-10-28,6259883.83,5044146.85,0.0,0.0,0.0,0.0,0.0,0.0,259,0,0
2012-10-29,5424539.1,4294440.71,0.0,0.0,0.0,0.0,0.0,0.0,236,0,0
2012-10-30,6347274.89,5049887.71,0.0,0.0,0.0,0.0,0.0,0.0,250,0,0
2012-10-31,4942677.89,3871571.88,0.0,0.0,0.0,66.80549199084668,6622.0,282.0,214,0,0
2012-11-01,5536748.35,4440955.34,0.0,0.0,0.0,0.0,0.0,0.0,201,0,0
2012-11-02,1936831.08,1547786.14,0.0,0.0,0.0,0.0,0.0,0.0,67,0,0
2012-11-03,2911848.61,2151815.97,0.0,0.0,0.0,0.0,0.0,0.0,84,0,0
2012-11-04,2658832.75,2131401.7,0.0,0.0,0.0,0.0,0.0,0.0,85,0,0
2012-11-05,3332448.46,2732792.99,0.0,0.0,0.0,0.0,0.0,0.0,129,0,0
2012-11-06,3439495.01,2809375.18,0.0,0.0,0.0,0.0,0.0,0.0,109,0,0
2012-11-07,1969815.91,1538155.1,0.0,0.0,0.0,0.0,0.0,0.0,69,0,0
2012-11-08,2197716.17,1723412.77,0.0,0.0,0.0,0.0,0.0,0.0,88,0,0
2012-11-09,2920310.06,2308918.6,0.0,0.0,0.0,0.0,0.0,0.0,107,0,0
2012-11-10,3124993.27,2475389.25,0.0,0.0,0.0,0.0,0.0,0.0,122,0,0
2012-11-11,3484874.3,2713727.18,0.0,0.0,0.0,0.0,0.0,0.0,141,0,0
2012-11-12,3806978.06,3077336.49,0.0,0.0,0.0,0.0,0.0,0.0,172,0,0
2012-11-13,3848498.06,3048755.92,0.0,0.0,0.0,0.0,0.0,0.0,149,0,0
2012-11-14,3213518.64,2550177.92,0.0,0.0,0.0,0.0,0.0,0.0,133,0,0
2012-11-15,2996358.37,2282178.26,0.0,0.0,0.0,0.0,0.0,0.0,138,0,0
2012-11-16,2851503.98,2255928.16,0.0,0.0,0.0,0.0,0.0,0.0,117,0,0
2012-11-17,3258479.4,2499839.57,0.0,0.0,0.0,0.0,0.0,0.0,126,0,0
2012-11-18,3292697.97,2632996.71,0.0,0.0,0.0,0.0,0.0,0.0,131,0,0
2012-11-19,4654711.93,3714724.53,0.0,0.0,0.0,0.0,0.0,0.0,168,0,0
2012-11-20,3532139.01,2841184.71,0.0,0.0,0.0,0.0,0.0,0.0,143,0,0
2012-11-21,3144567.59,2465022.82,0.0,0.0,0.0,0.0,0.0,0.0,139,0,0
2012-11-22,2661394.83,2082526.75,0.0,0.0,0.0,0.0,0.0,0.0,108,0,0
2012-11-23,3625609.77,2879673.14,0.0,0.0,0.0,0.0,0.0,0.0,142,0,0
2012-11-24,2283866.51,1759438.38,0.0,0.0,0.0,0.0,0.0,0.0,133,0,0
2012-11-25,2891169.43,2288045.69,0.0,0.0,0.0,0.0,0.0,0.0,124,0,0
2012-11-26,3626699.25,2942841.67,0.0,0.0,0.0,0.0,0.0,0.0,180,0,0
2012-11-27,4703189.22,3751057.26,0.0,0.0,0.0,0.0,0.0,0.0,257,0,0
2012-11-28,3980270.66,3143037.5,0.0,0.0,0.0,0.0,0.0,0.0,218,0,0
2012-11-29,3116036.61,2564940.27,0.0,0.0,0.0,0.0,0.0,0.0,176,0,0
2012-11-30,3184691.98,2466641.44,0.0,0.0,0.0,73.31873479318735,6251.0,295.0,186,0,0
2012-12-01,3064822.76,2435991.34,0.0,0.0,0.0,0.0,0.0,0.0,180,0,0
2012-12-02,1765509.34,1464812.23,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0
2012-12-03,2315389.05,1807129.65,0.0,0.0,0.0,0.0,0.0,0.0,83,0,0
2012-12-04,2382954.42,1864688.02,0.0,0.0,0.0,0.0,0.0,0.0,105,0,0
2012-12-05,2286277.45,1849992.69,0.0,0.0,0.0,0.0,0.0,0.0,92,0,0
2012-12-06,2733678.5,2184618.1,0.0,0.0,0.0,0.0,0.0,0.0,82,0,0
2012-12-07,2065198.04,1633326.72,0.0,0.0,0.0,0.0,0.0,0.0,99,0,0
2012-12-08,2087384.34,1719369.91,0.0,0.0,0.0,0.0,0.0,0.0,111,0,0
2012-12-09,2430122.78,1883727.02,0.0,0.0,0.0,0.0,0.0,0.0,127,0,0
2012-12-10,2542389.69,2015472.58,0.0,0.0,0.0,0.0,0.0,0.0,149,0,0
2012-12-11,3699430.17,3001083.16,0.0,0.0,0.0,0.0,0.0,0.0,192,0,0
2012-12-12,4386420.92,3545221.89,0.0,0.0,0.0,0.0,0.0,0.0,198,0,0
2012-12-13,2326824.81,1839144.84,0.0,0.0,0.0,0.0,0.0,0.0,138,0,0
2012-12-14,2659317.57,2101555.8,0.0,0.0,0.0,0.0,0.0,0.0,149,0,0
2012-12-15,3385542.75,2693057.28,0.0,0.0,0.0,0.0,0.0,0.0,196,0,0
2012-12-16,3484853.43,2706611.68,0.0,0.0,0.0,0.0,0.0,0.0,204,0,0
2012-12-17,4281691.85,3433745.61,0.0,0.0,0.0,0.0,0.0,0.0,254,0,0
2012-12-18,4394537.67,3473710.24,0.0,0.0,0.0,0.0,0.0,0.0,267,0,0
2012-12-19,3785472.73,3004383.53,0.0,0.0,0.0,0.0,0.0,0.0,263,0,0
2012-12-20,3905985.95,3132486.67,0.0,0.0,0.0,0.0,0.0,0.0,227,0,0
2012-12-21,3966203.09,3174444.37,0.0,0.0,0.0,0.0,0.0,0.0,252,0,0
2012-12-22,3225123.87,2559516.54,0.0,0.0,0.0,0.0,0.0,0.0,218,0,0
2012-12-23,2151580.15,1770780.57,0.0,0.0,0.0,0.0,0.0,0.0,166,0,0
2012-12-24,3297376.6,2599138.83,0.0,0.0,0.0,0.0,0.0,0.0,258,0,0
2012-12-25,4917024.98,3856446.89,0.0,0.0,0.0,0.0,0.0,0.0,341,0,0
2012-12-26,3285221.25,2658633.45,0.0,0.0,0.0,0.0,0.0,0.0,262,0,0
2012-12-27,4994041.71,3924374.73,0.0,0.0,0.0,0.0,0.0,0.0,302,0,0
2012-12-28,8573663.31,6682336.48,0.0,0.0,0.0,0.0,0.0,0.0,558,0,0
2012-12-29,7842913.37,6260959.87,0.0,0.0,0.0,0.0,0.0,0.0,459,0,0
2012-12-30,6511908.92,5180121.12,0.0,0.0,0.0,0.0,0.0,0.0,351,0,0
2012-12-31,5573749.22,4432224.44,0.0,0.0,0.0,73.10244988864143,10814.0,316.0,341,0,0
2013-01-01,5304546.99,4156070.2,9760.0,7253.0,39093.0,0.0,0.0,0.0,288,0,0
2013-01-02,1606940.44,1237497.84,10456.0,8151.0,47611.0,0.0,0.0,0.0,47,0,0
2013-01-03,2281680.01,1832133.02,10076.0,7458.0,36963.0,0.0,0.0,0.0,81,0,0
2013-01-04,2376895.46,1940747.07,9973.0,8063.0,53078.0,0.0,0.0,0.0,83,0,0
2013-01-05,2509462.77,1977027.71,10223.0,7882.0,36790.0,0.0,0.0,0.0,78,0,0
